[2020-08-06T09:36:02.44][1] 	84 milliseconds 
[2020-08-06T09:36:02.492][1] 	136 milliseconds 
[2020-08-06T09:36:02.545][1] 	189 milliseconds 
[2020-08-06T09:36:02.597][1] 	48 milliseconds 
[2020-08-06T09:36:02.65][1] 	101 milliseconds 
[2020-08-06T09:36:02.703][1] 	53 milliseconds 
[2020-08-06T09:36:02.756][1] 	6 milliseconds 
[2020-08-06T09:36:02.809][1] 	59 milliseconds 
[2020-08-06T09:36:02.861][1] 	6 milliseconds 
[2020-08-06T09:36:02.913][1] 	58 milliseconds 
[2020-08-06T09:36:02.972][1] 	21 milliseconds 
[2020-08-06T09:36:03.024][1] 	73 milliseconds 
[2020-08-06T09:36:03.076][1] 	25 milliseconds 
[2020-08-06T09:36:03.128][1] 	77 milliseconds 
[2020-08-06T09:36:03.18][1] 	29 milliseconds 
[2020-08-06T09:36:03.233][1] 	82 milliseconds 
[2020-08-06T09:36:03.285][1] 	34 milliseconds 
[2020-08-06T09:36:03.337][1] 	86 milliseconds 
[2020-08-06T09:36:03.389][1] 	38 milliseconds 
[2020-08-06T09:36:03.441][1] 	90 milliseconds 
[2020-08-06T09:36:03.494][1] 	42 milliseconds 
[2020-08-06T09:36:03.546][1] 	94 milliseconds 
[2020-08-06T09:36:03.598][1] 	46 milliseconds 
[2020-08-06T09:36:03.65][1] 	98 milliseconds 
[2020-08-06T09:36:03.702][1] 	50 milliseconds 
[2020-08-06T09:36:03.754][1] 	1 millisecond 
[2020-08-06T09:36:03.807][1] 	54 milliseconds 
[2020-08-06T09:36:03.859][1] 	6 milliseconds 
[2020-08-06T09:36:03.911][1] 	58 milliseconds 
[2020-08-06T09:36:03.963][1] 	9 milliseconds 
[2020-08-06T09:36:04.015][1] 	61 milliseconds 
[2020-08-06T09:36:04.067][1] 	13 milliseconds 
[2020-08-06T09:36:04.119][1] 	65 milliseconds 
[2020-08-06T09:36:04.171][1] 	14 milliseconds 
[2020-08-06T09:36:04.223][1] 	66 milliseconds 
[2020-08-06T09:36:04.275][1] 	21 milliseconds 
[2020-08-06T09:36:04.327][1] 	73 milliseconds 
[2020-08-06T09:36:04.379][1] 	25 milliseconds 
[2020-08-06T09:36:04.431][1] 	77 milliseconds 
[2020-08-06T09:36:04.483][1] 	2 milliseconds 
[2020-08-06T09:36:04.535][1] 	54 milliseconds 
[2020-08-06T09:36:04.587][1] 	5 milliseconds 
[2020-08-06T09:36:04.639][1] 	57 milliseconds 
[2020-08-06T09:36:04.692][1] 	5 milliseconds 
[2020-08-06T09:36:04.744][1] 	58 milliseconds 
[2020-08-06T09:36:04.796][1] 	12 milliseconds 
[2020-08-06T09:36:04.849][1] 	65 milliseconds 
[2020-08-06T09:36:04.902][1] 	118 milliseconds 
[2020-08-06T09:36:04.954][1] 	170 milliseconds 
[2020-08-06T09:36:05.006][1] 	15 milliseconds 
[2020-08-06T09:36:05.058][1] 	67 milliseconds 
[2020-08-06T09:36:05.11][1] 	119 milliseconds 
[2020-08-06T09:36:05.163][1] 	172 milliseconds 
[2020-08-06T09:36:05.215][1] 	10 milliseconds 
[2020-08-06T09:36:05.267][1] 	62 milliseconds 
[2020-08-06T09:36:05.32][1] 	1 millisecond 
