[2020-08-06T10:09:00.027][1] 	18 milliseconds 
[2020-08-06T10:09:00.079][1] 	70 milliseconds 
[2020-08-06T10:09:00.131][1] 	24 milliseconds 
[2020-08-06T10:09:00.184][1] 	76 milliseconds 
[2020-08-06T10:09:00.235][1] 	25 milliseconds 
[2020-08-06T10:09:00.287][1] 	77 milliseconds 
[2020-08-06T10:09:00.34][1] 	130 milliseconds 
[2020-08-06T10:09:00.392][1] 	182 milliseconds 
[2020-08-06T10:09:00.444][1] 	7 milliseconds 
[2020-08-06T10:09:00.496][1] 	59 milliseconds 
[2020-08-06T10:09:00.548][1] 	11 milliseconds 
[2020-08-06T10:09:00.6][1] 	63 milliseconds 
[2020-08-06T10:09:00.652][1] 	15 milliseconds 
[2020-08-06T10:09:00.704][1] 	67 milliseconds 
[2020-08-06T10:09:00.756][1] 	16 milliseconds 
[2020-08-06T10:09:00.808][1] 	68 milliseconds 
[2020-08-06T10:09:00.86][1] 	120 milliseconds 
[2020-08-06T10:09:00.912][1] 	172 milliseconds 
[2020-08-06T10:09:00.964][1] 	224 milliseconds 
[2020-08-06T10:09:01.016][1] 	276 milliseconds 
[2020-08-06T10:09:01.068][1] 	3 milliseconds 
[2020-08-06T10:09:01.121][1] 	56 milliseconds 
[2020-08-06T10:09:01.204][1] 	38 milliseconds 
[2020-08-06T10:09:01.258][1] 	92 milliseconds 
[2020-08-06T10:09:01.317][1] 	52 milliseconds 
[2020-08-06T10:09:01.369][1] 	104 milliseconds 
[2020-08-06T10:09:01.432][1] 	29 milliseconds 
[2020-08-06T10:09:01.487][1] 	84 milliseconds 
[2020-08-06T10:09:01.539][1] 	44 milliseconds 
[2020-08-06T10:09:01.592][1] 	2 milliseconds 
[2020-08-06T10:09:01.644][1] 	55 milliseconds 
[2020-08-06T10:09:01.696][1] 	107 milliseconds 
[2020-08-06T10:09:01.75][1] 	160 milliseconds 
[2020-08-06T10:09:01.802][1] 	213 milliseconds 
[2020-08-06T10:09:01.856][1] 	20 milliseconds 
[2020-08-06T10:09:01.908][1] 	73 milliseconds 
[2020-08-06T10:09:01.96][1] 	125 milliseconds 
[2020-08-06T10:09:02.012][1] 	177 milliseconds 
[2020-08-06T10:09:02.065][1] 	229 milliseconds 
[2020-08-06T10:09:02.117][1] 	282 milliseconds 
[2020-08-06T10:09:02.169][1] 	334 milliseconds 
[2020-08-06T10:09:02.221][1] 	35 milliseconds 
[2020-08-06T10:09:02.274][1] 	87 milliseconds 
[2020-08-06T10:09:02.326][1] 	40 milliseconds 
[2020-08-06T10:09:02.378][1] 	92 milliseconds 
[2020-08-06T10:09:02.43][1] 	13 milliseconds 
[2020-08-06T10:09:02.482][1] 	65 milliseconds 
[2020-08-06T10:09:02.534][1] 	16 milliseconds 
[2020-08-06T10:09:02.586][1] 	68 milliseconds 
[2020-08-06T10:09:02.638][1] 	8 milliseconds 
[2020-08-06T10:09:02.694][1] 	64 milliseconds 
[2020-08-06T10:09:02.746][1] 	116 milliseconds 
[2020-08-06T10:09:02.798][1] 	168 milliseconds 
[2020-08-06T10:09:02.85][1] 	220 milliseconds 
[2020-08-06T10:09:02.902][1] 	43 milliseconds 
[2020-08-06T10:09:02.955][1] 	96 milliseconds 
[2020-08-06T10:09:03.007][1] 	47 milliseconds 
[2020-08-06T10:09:03.059][1] 	99 milliseconds 
[2020-08-06T10:09:03.112][1] 	51 milliseconds 
[2020-08-06T10:09:03.164][1] 	2 milliseconds 
[2020-08-06T10:09:03.216][1] 	54 milliseconds 
[2020-08-06T10:09:03.268][1] 	5 milliseconds 
[2020-08-06T10:09:03.32][1] 	57 milliseconds 
[2020-08-06T10:09:03.372][1] 	109 milliseconds 
[2020-08-06T10:09:03.424][1] 	12 milliseconds 
[2020-08-06T10:09:03.476][1] 	64 milliseconds 
[2020-08-06T10:09:03.528][1] 	16 milliseconds 
[2020-08-06T10:09:03.58][1] 	68 milliseconds 
[2020-08-06T10:09:03.632][1] 	120 milliseconds 
[2020-08-06T10:09:03.684][1] 	40 milliseconds 
[2020-08-06T10:09:03.736][1] 	92 milliseconds 
[2020-08-06T10:09:03.788][1] 	144 milliseconds 
[2020-08-06T10:09:03.84][1] 	196 milliseconds 
[2020-08-06T10:09:03.893][1] 	5 milliseconds 
[2020-08-06T10:09:03.945][1] 	58 milliseconds 
[2020-08-06T10:09:03.997][1] 	10 milliseconds 
[2020-08-06T10:09:04.049][1] 	62 milliseconds 
[2020-08-06T10:09:04.101][1] 	114 milliseconds 
[2020-08-06T10:09:04.153][1] 	166 milliseconds 
[2020-08-06T10:09:04.205][1] 	26 milliseconds 
[2020-08-06T10:09:04.257][1] 	41 milliseconds 
[2020-08-06T10:09:04.309][1] 	93 milliseconds 
[2020-08-06T10:09:04.362][1] 	32 milliseconds 
[2020-08-06T10:09:04.414][1] 	84 milliseconds 
[2020-08-06T10:09:04.466][1] 	36 milliseconds 
[2020-08-06T10:09:04.518][1] 	88 milliseconds 
[2020-08-06T10:09:04.57][1] 	35 milliseconds 
[2020-08-06T10:09:04.622][1] 	87 milliseconds 
[2020-08-06T10:09:04.674][1] 	37 milliseconds 
[2020-08-06T10:09:04.726][1] 	89 milliseconds 
[2020-08-06T10:09:04.778][1] 	43 milliseconds 
[2020-08-06T10:09:04.83][1] 	95 milliseconds 
[2020-08-06T10:09:04.882][1] 	147 milliseconds 
[2020-08-06T10:09:04.934][1] 	199 milliseconds 
[2020-08-06T10:09:04.987][1] 	6 milliseconds 
[2020-08-06T10:09:05.039][1] 	59 milliseconds 
[2020-08-06T10:09:05.091][1] 	10 milliseconds 
[2020-08-06T10:09:05.143][1] 	62 milliseconds 
[2020-08-06T10:09:05.195][1] 	114 milliseconds 
[2020-08-06T10:09:05.247][1] 	9 milliseconds 
[2020-08-06T10:09:05.299][1] 	61 milliseconds 
[2020-08-06T10:09:05.351][1] 	113 milliseconds 
[2020-08-06T10:09:05.403][1] 	165 milliseconds 
[2020-08-06T10:09:05.455][1] 	217 milliseconds 
[2020-08-06T10:09:05.507][1] 	269 milliseconds 
[2020-08-06T10:09:05.56][1] 	2 milliseconds 
[2020-08-06T10:09:05.612][1] 	55 milliseconds 
[2020-08-06T10:09:05.664][1] 	107 milliseconds 
[2020-08-06T10:09:05.716][1] 	159 milliseconds 
[2020-08-06T10:09:05.768][1] 	211 milliseconds 
[2020-08-06T10:09:05.821][1] 	264 milliseconds 
[2020-08-06T10:09:05.873][1] 	316 milliseconds 
[2020-08-06T10:09:05.925][1] 	32 milliseconds 
[2020-08-06T10:09:05.978][1] 	85 milliseconds 
[2020-08-06T10:09:06.03][1] 	137 milliseconds 
[2020-08-06T10:09:06.082][1] 	189 milliseconds 
[2020-08-06T10:09:06.134][1] 	241 milliseconds 
[2020-08-06T10:09:06.186][1] 	31 milliseconds 
[2020-08-06T10:09:06.238][1] 	83 milliseconds 
[2020-08-06T10:09:06.29][1] 	135 milliseconds 
[2020-08-06T10:09:06.343][1] 	188 milliseconds 
[2020-08-06T10:09:06.395][1] 	4 milliseconds 
[2020-08-06T10:09:06.447][1] 	56 milliseconds 
[2020-08-06T10:09:06.499][1] 	108 milliseconds 
[2020-08-06T10:09:06.551][1] 	160 milliseconds 
[2020-08-06T10:09:06.603][1] 	212 milliseconds 
[2020-08-06T10:09:06.655][1] 	264 milliseconds 
[2020-08-06T10:09:06.708][1] 	10 milliseconds 
[2020-08-06T10:09:06.76][1] 	62 milliseconds 
[2020-08-06T10:09:06.812][1] 	14 milliseconds 
[2020-08-06T10:09:06.863][1] 	65 milliseconds 
[2020-08-06T10:09:06.916][1] 	17 milliseconds 
[2020-08-06T10:09:06.968][1] 	69 milliseconds 
[2020-08-06T10:09:07.02][1] 	120 milliseconds 
[2020-08-06T10:09:07.072][1] 	173 milliseconds 
[2020-08-06T10:09:07.124][1] 	225 milliseconds 
[2020-08-06T10:09:07.176][1] 	277 milliseconds 
[2020-08-06T10:09:07.228][1] 	329 milliseconds 
[2020-08-06T10:09:07.28][1] 	381 milliseconds 
[2020-08-06T10:09:07.332][1] 	433 milliseconds 
[2020-08-06T10:09:07.384][1] 	485 milliseconds 
[2020-08-06T10:09:07.437][1] 	47 milliseconds 
[2020-08-06T10:09:07.489][1] 	99 milliseconds 
[2020-08-06T10:09:07.541][1] 	151 milliseconds 
[2020-08-06T10:09:07.593][1] 	17 milliseconds 
[2020-08-06T10:09:07.645][1] 	69 milliseconds 
[2020-08-06T10:09:07.697][1] 	18 milliseconds 
[2020-08-06T10:09:07.749][1] 	70 milliseconds 
[2020-08-06T10:09:07.801][1] 	22 milliseconds 
[2020-08-06T10:09:07.853][1] 	74 milliseconds 
[2020-08-06T10:09:07.905][1] 	25 milliseconds 
[2020-08-06T10:09:07.957][1] 	77 milliseconds 
[2020-08-06T10:09:08.009][1] 	129 milliseconds 
[2020-08-06T10:09:08.061][1] 	47 milliseconds 
[2020-08-06T10:09:08.114][1] 	100 milliseconds 
[2020-08-06T10:09:08.166][1] 	152 milliseconds 
[2020-08-06T10:09:08.218][1] 	17 milliseconds 
[2020-08-06T10:09:08.27][1] 	69 milliseconds 
[2020-08-06T10:09:08.323][1] 	122 milliseconds 
[2020-08-06T10:09:08.375][1] 	174 milliseconds 
[2020-08-06T10:09:08.427][1] 	226 milliseconds 
[2020-08-06T10:09:08.479][1] 	5 milliseconds 
[2020-08-06T10:09:08.532][1] 	58 milliseconds 
[2020-08-06T10:09:08.584][1] 	9 milliseconds 
[2020-08-06T10:09:08.636][1] 	61 milliseconds 
[2020-08-06T10:09:08.688][1] 	12 milliseconds 
[2020-08-06T10:09:08.74][1] 	64 milliseconds 
[2020-08-06T10:09:08.801][1] 	24 milliseconds 
[2020-08-06T10:09:08.853][1] 	76 milliseconds 
[2020-08-06T10:09:08.905][1] 	29 milliseconds 
[2020-08-06T10:09:08.957][1] 	81 milliseconds 
[2020-08-06T10:09:09.016][1] 	39 milliseconds 
[2020-08-06T10:09:09.068][1] 	91 milliseconds 
[2020-08-06T10:09:09.12][1] 	41 milliseconds 
[2020-08-06T10:09:09.172][1] 	93 milliseconds 
[2020-08-06T10:09:09.224][1] 	30 milliseconds 
[2020-08-06T10:09:09.276][1] 	82 milliseconds 
[2020-08-06T10:09:09.328][1] 	34 milliseconds 
[2020-08-06T10:09:09.38][1] 	86 milliseconds 
[2020-08-06T10:09:09.432][1] 	37 milliseconds 
[2020-08-06T10:09:09.484][1] 	89 milliseconds 
[2020-08-06T10:09:09.536][1] 	41 milliseconds 
[2020-08-06T10:09:09.588][1] 	93 milliseconds 
[2020-08-06T10:09:09.64][1] 	10 milliseconds 
[2020-08-06T10:09:09.692][1] 	62 milliseconds 
[2020-08-06T10:09:09.744][1] 	13 milliseconds 
[2020-08-06T10:09:09.796][1] 	65 milliseconds 
[2020-08-06T10:09:09.848][1] 	117 milliseconds 
[2020-08-06T10:09:09.9][1] 	169 milliseconds 
[2020-08-06T10:09:09.952][1] 	25 milliseconds 
[2020-08-06T10:09:10.004][1] 	77 milliseconds 
[2020-08-06T10:09:10.056][1] 	31 milliseconds 
[2020-08-06T10:09:10.108][1] 	83 milliseconds 
[2020-08-06T10:09:10.16][1] 	135 milliseconds 
[2020-08-06T10:09:10.212][1] 	40 milliseconds 
[2020-08-06T10:09:10.264][1] 	41 milliseconds 
[2020-08-06T10:09:10.317][1] 	94 milliseconds 
[2020-08-06T10:09:10.37][1] 	47 milliseconds 
[2020-08-06T10:09:10.421][1] 	98 milliseconds 
[2020-08-06T10:09:10.474][1] 	51 milliseconds 
[2020-08-06T10:09:12.121][1] 	96 milliseconds 
[2020-08-06T10:09:12.173][1] 	48 milliseconds 
[2020-08-06T10:09:12.225][1] 	100 milliseconds 
[2020-08-06T10:09:12.277][1] 	51 milliseconds 
[2020-08-06T10:09:12.329][1] 	3 milliseconds 
[2020-08-06T10:09:12.381][1] 	55 milliseconds 
[2020-08-06T10:09:12.433][1] 	7 milliseconds 
[2020-08-06T10:09:12.486][1] 	60 milliseconds 
[2020-08-06T10:09:12.538][1] 	12 milliseconds 
[2020-08-06T10:09:12.59][1] 	64 milliseconds 
[2020-08-06T10:09:12.642][1] 	14 milliseconds 
[2020-08-06T10:09:12.694][1] 	66 milliseconds 
[2020-08-06T10:09:12.746][1] 	18 milliseconds 
[2020-08-06T10:09:12.798][1] 	70 milliseconds 
[2020-08-06T10:09:12.85][1] 	21 milliseconds 
[2020-08-06T10:09:12.902][1] 	73 milliseconds 
[2020-08-06T10:09:12.954][1] 	25 milliseconds 
[2020-08-06T10:09:13.006][1] 	77 milliseconds 
[2020-08-06T10:09:13.058][1] 	29 milliseconds 
[2020-08-06T10:09:13.11][1] 	81 milliseconds 
