time,symbol,side,,q,p,t,fee,
2020-07-31T09:28:07.98,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:28:08.053,BNBBTC,BUY,MARKET,0.12,0.0018452,0.000221424,9E-05,FILLED
2020-07-31T09:28:08.226,BNBBTC,BUY,MARKET,0.12,0.0018452,0.000221424,9E-05,FILLED
2020-07-31T09:28:16.1,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:28:16.423,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:28:16.448,BNBBTC,BUY,MARKET,0.12,0.0018451,0.000221412,9E-05,FILLED
2020-07-31T09:28:40.907,LTCBNB,BUY,MARKET,0.05,2.773,0.13865,0.00010395,FILLED
2020-07-31T09:28:40.96,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:28:41.002,BNBBTC,BUY,MARKET,0.12,0.0018449,0.000221388,9E-05,FILLED
2020-07-31T09:28:41.359,LTCBNB,BUY,MARKET,0.05,2.773,0.13865,0.00010395,FILLED
2020-07-31T09:28:41.413,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:28:41.514,BNBBTC,BUY,MARKET,0.12,0.0018449,0.000221388,9E-05,FILLED
2020-07-31T09:28:42.024,LTCBNB,BUY,MARKET,0.05,2.773,0.13865,0.00010395,FILLED
2020-07-31T09:28:42.028,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:28:42.059,BNBBTC,BUY,MARKET,0.12,0.0018449,0.000221388,9E-05,FILLED
2020-07-31T09:28:42.062,BNBBTC,BUY,MARKET,0.12,0.0018449,0.000221388,9E-05,FILLED
2020-07-31T09:28:42.43,LTCBNB,BUY,MARKET,0.05,2.773,0.13865,0.00010395,FILLED
2020-07-31T09:28:45.001,LTCBNB,BUY,MARKET,0.05,2.775,0.13875,0.00010395,FILLED
2020-07-31T09:28:45.201,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:28:45.313,BNBBTC,BUY,MARKET,0.12,0.0018449,0.000221388,9E-05,FILLED
2020-07-31T09:28:45.34,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:28:50.278,BNBBTC,BUY,MARKET,0.12,0.0018449,0.000221388,9E-05,FILLED
2020-07-31T09:28:50.447,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:28:50.446,LTCBNB,BUY,MARKET,0.05,2.773,0.13865,0.00010395,FILLED
2020-07-31T09:28:50.606,BNBBTC,BUY,MARKET,0.12,0.0018449,0.000221388,9E-05,FILLED
2020-07-31T09:28:52.232,LTCBNB,BUY,MARKET,0.05,2.773,0.13865,0.00010395,FILLED
2020-07-31T09:28:52.296,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:28:52.387,BNBBTC,BUY,MARKET,0.12,0.0018454,0.000221448,9E-05,FILLED
2020-07-31T09:29:07.973,LTCBNB,BUY,MARKET,0.05,2.777,0.13885,0.00010395,FILLED
2020-07-31T09:29:08.118,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:29:08.148,BNBBTC,BUY,MARKET,0.12,0.0018455,0.00022146,9E-05,FILLED
2020-07-31T09:29:11.934,LTCBNB,BUY,MARKET,0.05,2.775,0.13875,0.00010395,FILLED
2020-07-31T09:29:11.966,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:29:12.094,BNBBTC,BUY,MARKET,0.12,0.0018455,0.00022146,9E-05,FILLED
2020-07-31T09:29:13.346,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:29:13.4,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:29:13.51,BNBBTC,BUY,MARKET,0.12,0.0018455,0.00022146,9E-05,FILLED
2020-07-31T09:29:13.591,BNBBTC,BUY,MARKET,0.12,0.0018455,0.00022146,9E-05,FILLED
2020-07-31T09:29:13.778,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:29:13.843,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:29:13.874,BNBBTC,BUY,MARKET,0.12,0.0018455,0.00022146,9E-05,FILLED
2020-07-31T09:29:17.949,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:29:17.955,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:29:18.961,BNBBTC,BUY,MARKET,0.12,0.0018455,0.00022146,9E-05,FILLED
2020-07-31T09:29:19.442,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:29:19.447,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:29:19.51,BNBBTC,BUY,MARKET,0.12,0.0018455,0.00022146,9E-05,FILLED
2020-07-31T09:29:20.828,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:29:20.992,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:29:21.109,BNBBTC,BUY,MARKET,0.12,0.0018451,0.000221412,9E-05,FILLED
2020-07-31T09:29:27.619,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:29:27.618,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:29:27.878,BNBBTC,BUY,MARKET,0.12,0.0018449,0.000221388,9E-05,FILLED
2020-07-31T09:29:27.906,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:29:27.935,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
