[2020-08-06T10:19:35.074][1] 	1032 milliseconds 
[2020-08-06T10:19:35.126][1] 	1084 milliseconds 
[2020-08-06T10:19:35.179][1] 	1137 milliseconds 
[2020-08-06T10:19:35.23][1] 	1188 milliseconds 
[2020-08-06T10:19:35.282][1] 	1240 milliseconds 
[2020-08-06T10:19:35.334][1] 	1292 milliseconds 
[2020-08-06T10:19:35.386][1] 	1344 milliseconds 
[2020-08-06T10:19:35.438][1] 	1396 milliseconds 
[2020-08-06T10:19:35.491][1] 	1448 milliseconds 
[2020-08-06T10:19:35.546][1] 	1504 milliseconds 
[2020-08-06T10:19:35.599][1] 	1557 milliseconds 
[2020-08-06T10:19:35.652][1] 	1610 milliseconds 
[2020-08-06T10:19:35.705][1] 	1663 milliseconds 
[2020-08-06T10:19:35.757][1] 	1715 milliseconds 
[2020-08-06T10:19:35.809][1] 	1767 milliseconds 
[2020-08-06T10:19:35.861][1] 	1819 milliseconds 
[2020-08-06T10:19:35.913][1] 	1871 milliseconds 
[2020-08-06T10:19:35.966][1] 	1924 milliseconds 
[2020-08-06T10:19:36.018][1] 	1976 milliseconds 
[2020-08-06T10:19:36.07][1] 	2028 milliseconds 
[2020-08-06T10:19:36.122][1] 	2080 milliseconds 
[2020-08-06T10:19:36.174][1] 	2132 milliseconds 
[2020-08-06T10:19:36.227][1] 	2185 milliseconds 
[2020-08-06T10:19:36.279][1] 	2237 milliseconds 
[2020-08-06T10:19:36.331][1] 	2289 milliseconds 
[2020-08-06T10:19:36.383][1] 	2341 milliseconds 
[2020-08-06T10:19:36.435][1] 	2393 milliseconds 
[2020-08-06T10:19:36.487][1] 	2445 milliseconds 
[2020-08-06T10:19:36.54][1] 	2498 milliseconds 
[2020-08-06T10:19:36.592][1] 	2550 milliseconds 
[2020-08-06T10:19:36.644][1] 	2602 milliseconds 
[2020-08-06T10:19:36.696][1] 	2654 milliseconds 
[2020-08-06T10:19:36.748][1] 	2706 milliseconds 
[2020-08-06T10:19:36.8][1] 	51 milliseconds 
[2020-08-06T10:19:36.852][1] 	103 milliseconds 
[2020-08-06T10:19:36.904][1] 	9 milliseconds 
[2020-08-06T10:19:36.956][1] 	61 milliseconds 
[2020-08-06T10:19:37.008][1] 	113 milliseconds 
[2020-08-06T10:19:37.06][1] 	165 milliseconds 
[2020-08-06T10:19:37.112][1] 	217 milliseconds 
[2020-08-06T10:19:37.164][1] 	269 milliseconds 
[2020-08-06T10:19:37.216][1] 	321 milliseconds 
[2020-08-06T10:19:37.268][1] 	373 milliseconds 
[2020-08-06T10:19:37.32][1] 	425 milliseconds 
[2020-08-06T10:19:37.372][1] 	477 milliseconds 
[2020-08-06T10:19:37.422][1] 	527 milliseconds 
[2020-08-06T10:19:37.474][1] 	579 milliseconds 
[2020-08-06T10:19:37.526][1] 	631 milliseconds 
[2020-08-06T10:19:37.578][1] 	683 milliseconds 
[2020-08-06T10:19:37.63][1] 	735 milliseconds 
[2020-08-06T10:19:37.682][1] 	787 milliseconds 
[2020-08-06T10:19:37.734][1] 	839 milliseconds 
[2020-08-06T10:19:37.786][1] 	891 milliseconds 
[2020-08-06T10:19:37.838][1] 	34 milliseconds 
[2020-08-06T10:19:37.889][1] 	85 milliseconds 
[2020-08-06T10:19:37.941][1] 	137 milliseconds 
[2020-08-06T10:19:37.993][1] 	189 milliseconds 
[2020-08-06T10:19:38.045][1] 	241 milliseconds 
[2020-08-06T10:19:38.097][1] 	293 milliseconds 
[2020-08-06T10:19:38.149][1] 	345 milliseconds 
[2020-08-06T10:19:38.201][1] 	397 milliseconds 
[2020-08-06T10:19:38.253][1] 	449 milliseconds 
[2020-08-06T10:19:38.305][1] 	501 milliseconds 
[2020-08-06T10:19:38.357][1] 	553 milliseconds 
[2020-08-06T10:19:38.409][1] 	605 milliseconds 
[2020-08-06T10:19:38.461][1] 	657 milliseconds 
[2020-08-06T10:19:38.513][1] 	709 milliseconds 
[2020-08-06T10:19:38.565][1] 	761 milliseconds 
[2020-08-06T10:19:38.617][1] 	813 milliseconds 
[2020-08-06T10:19:38.669][1] 	865 milliseconds 
[2020-08-06T10:19:38.722][1] 	917 milliseconds 
[2020-08-06T10:19:38.774][1] 	6 milliseconds 
[2020-08-06T10:19:38.825][1] 	58 milliseconds 
[2020-08-06T10:19:38.877][1] 	110 milliseconds 
[2020-08-06T10:19:38.929][1] 	162 milliseconds 
[2020-08-06T10:19:38.981][1] 	214 milliseconds 
[2020-08-06T10:19:39.033][1] 	266 milliseconds 
[2020-08-06T10:19:39.085][1] 	318 milliseconds 
[2020-08-06T10:19:39.137][1] 	370 milliseconds 
[2020-08-06T10:19:39.19][1] 	423 milliseconds 
[2020-08-06T10:19:39.242][1] 	475 milliseconds 
[2020-08-06T10:19:39.294][1] 	527 milliseconds 
[2020-08-06T10:19:39.346][1] 	579 milliseconds 
[2020-08-06T10:19:39.398][1] 	631 milliseconds 
[2020-08-06T10:19:39.45][1] 	683 milliseconds 
[2020-08-06T10:19:39.502][1] 	735 milliseconds 
[2020-08-06T10:19:39.553][1] 	786 milliseconds 
[2020-08-06T10:19:39.605][1] 	838 milliseconds 
[2020-08-06T10:19:39.658][1] 	890 milliseconds 
[2020-08-06T10:19:39.71][1] 	942 milliseconds 
[2020-08-06T10:19:39.761][1] 	994 milliseconds 
[2020-08-06T10:19:39.813][1] 	50 milliseconds 
[2020-08-06T10:19:39.865][1] 	102 milliseconds 
[2020-08-06T10:19:39.917][1] 	7 milliseconds 
[2020-08-06T10:19:39.969][1] 	59 milliseconds 
[2020-08-06T10:19:40.022][1] 	111 milliseconds 
[2020-08-06T10:19:40.073][1] 	11 milliseconds 
[2020-08-06T10:19:40.126][1] 	64 milliseconds 
[2020-08-06T10:19:40.177][1] 	16 milliseconds 
[2020-08-06T10:19:40.229][1] 	68 milliseconds 
[2020-08-06T10:19:40.281][1] 	120 milliseconds 
[2020-08-06T10:19:40.333][1] 	172 milliseconds 
[2020-08-06T10:19:40.385][1] 	224 milliseconds 
[2020-08-06T10:19:40.437][1] 	276 milliseconds 
[2020-08-06T10:19:40.489][1] 	328 milliseconds 
[2020-08-06T10:19:40.541][1] 	380 milliseconds 
[2020-08-06T10:19:40.593][1] 	432 milliseconds 
[2020-08-06T10:19:40.645][1] 	484 milliseconds 
[2020-08-06T10:19:40.697][1] 	536 milliseconds 
[2020-08-06T10:19:40.749][1] 	588 milliseconds 
[2020-08-06T10:19:40.801][1] 	640 milliseconds 
[2020-08-06T10:19:40.853][1] 	692 milliseconds 
[2020-08-06T10:19:40.905][1] 	49 milliseconds 
[2020-08-06T10:19:42.271][1] 	342 milliseconds 
[2020-08-06T10:19:42.323][1] 	394 milliseconds 
[2020-08-06T10:19:42.375][1] 	446 milliseconds 
[2020-08-06T10:19:42.427][1] 	498 milliseconds 
[2020-08-06T10:19:42.479][1] 	550 milliseconds 
[2020-08-06T10:19:42.531][1] 	602 milliseconds 
[2020-08-06T10:19:42.583][1] 	654 milliseconds 
[2020-08-06T10:19:42.635][1] 	706 milliseconds 
[2020-08-06T10:19:42.687][1] 	758 milliseconds 
[2020-08-06T10:19:42.739][1] 	810 milliseconds 
[2020-08-06T10:19:42.791][1] 	862 milliseconds 
[2020-08-06T10:19:42.843][1] 	914 milliseconds 
[2020-08-06T10:19:42.895][1] 	966 milliseconds 
[2020-08-06T10:19:42.947][1] 	1018 milliseconds 
[2020-08-06T10:19:42.999][1] 	1070 milliseconds 
[2020-08-06T10:19:43.051][1] 	1122 milliseconds 
[2020-08-06T10:19:43.103][1] 	1173 milliseconds 
[2020-08-06T10:19:43.154][1] 	1225 milliseconds 
[2020-08-06T10:19:43.206][1] 	1277 milliseconds 
[2020-08-06T10:19:43.259][1] 	38 milliseconds 
[2020-08-06T10:19:43.31][1] 	90 milliseconds 
[2020-08-06T10:19:43.363][1] 	43 milliseconds 
[2020-08-06T10:19:43.415][1] 	95 milliseconds 
[2020-08-06T10:19:43.467][1] 	47 milliseconds 
[2020-08-06T10:19:43.519][1] 	99 milliseconds 
[2020-08-06T10:19:43.571][1] 	50 milliseconds 
[2020-08-06T10:19:43.623][1] 	102 milliseconds 
[2020-08-06T10:19:43.675][1] 	154 milliseconds 
[2020-08-06T10:19:43.727][1] 	206 milliseconds 
[2020-08-06T10:19:43.779][1] 	257 milliseconds 
[2020-08-06T10:19:43.83][1] 	309 milliseconds 
[2020-08-06T10:19:43.882][1] 	361 milliseconds 
[2020-08-06T10:19:43.934][1] 	413 milliseconds 
[2020-08-06T10:19:43.986][1] 	465 milliseconds 
[2020-08-06T10:19:44.038][1] 	27 milliseconds 
[2020-08-06T10:19:44.09][1] 	79 milliseconds 
[2020-08-06T10:19:44.142][1] 	131 milliseconds 
[2020-08-06T10:19:44.194][1] 	183 milliseconds 
[2020-08-06T10:19:44.246][1] 	235 milliseconds 
[2020-08-06T10:19:44.298][1] 	21 milliseconds 
[2020-08-06T10:19:44.35][1] 	73 milliseconds 
[2020-08-06T10:19:44.402][1] 	25 milliseconds 
[2020-08-06T10:19:44.454][1] 	77 milliseconds 
[2020-08-06T10:19:44.506][1] 	28 milliseconds 
[2020-08-06T10:19:44.558][1] 	80 milliseconds 
[2020-08-06T10:19:44.61][1] 	31 milliseconds 
[2020-08-06T10:19:44.662][1] 	83 milliseconds 
[2020-08-06T10:19:44.714][1] 	34 milliseconds 
[2020-08-06T10:19:44.767][1] 	86 milliseconds 
[2020-08-06T10:19:44.818][1] 	38 milliseconds 
[2020-08-06T10:19:44.87][1] 	90 milliseconds 
[2020-08-06T10:19:44.922][1] 	35 milliseconds 
[2020-08-06T10:19:44.974][1] 	87 milliseconds 
[2020-08-06T10:19:45.026][1] 	139 milliseconds 
[2020-08-06T10:19:45.078][1] 	5 milliseconds 
[2020-08-06T10:19:45.13][1] 	57 milliseconds 
[2020-08-06T10:19:45.182][1] 	109 milliseconds 
[2020-08-06T10:19:45.234][1] 	161 milliseconds 
[2020-08-06T10:19:45.286][1] 	213 milliseconds 
[2020-08-06T10:19:45.338][1] 	265 milliseconds 
[2020-08-06T10:19:45.39][1] 	317 milliseconds 
[2020-08-06T10:19:45.442][1] 	369 milliseconds 
[2020-08-06T10:19:45.494][1] 	421 milliseconds 
[2020-08-06T10:19:45.546][1] 	473 milliseconds 
[2020-08-06T10:19:45.598][1] 	525 milliseconds 
[2020-08-06T10:19:45.65][1] 	577 milliseconds 
